Filer,VServer,Volume,Aggregate,Size,State,Policy,Junction-Path,Used,Snapshot-Policy,Clone-Volume,Compression-Space-Saved,Dedupe-Space-Saved,Clone-Parent-Name,QTree,QTree-Quota,QTree-Used,Space-Needed,Space-Alloc-Needed,CIFS,Owner,EMT-2,BU,Site:Path
noiclapa01-cls-mgt,vs0,it_oracle_images,noiclapa01_s1_SATA0,50GB,online,oracle,/oracle/it_oracle_images,35GB,none,false,0GB,0GB,-,-,-,-,35GB,15GB,-,-,-,-,-
noiclapa01-cls-mgt,vs0,jasper_fav_scripts,noiclapa01_s1_SATA0,1GB,online,jasper_scripts,/jasper/jasper_fav_scripts,0GB,it-noida,false,0GB,0GB,-,-,-,-,0GB,1GB,-,-,-,-,noida:/tool/fav_scripts
noiclapa01-cls-mgt,vs0,jasper_reg_diva,noiclapa01_s1_SATA0,10GB,online,default,/vols/jasper_reg_diva,0GB,none,false,0GB,0GB,-,-,-,-,0GB,10GB,-,-,-,-,noida:/hm/reg_diva
noiclapa01-cls-mgt,vs0,jasper_stor_home,noiclapa01_p5_SAS0,975GB,online,jasper,/jasper/jasper_stor_home,873GB,1-weekly,false,0GB,2924GB,-,-,-,-,3797GB,-2822GB,-,-,-,-,noida:/hm/reg
noiclapa01-cls-mgt,vs0,jasper_valve5,noiclapa01_p1_SAS0,7372GB,online,jasper,/jasper/jasper_valve5,6890GB,none,false,0GB,6153GB,-,-,-,-,13043GB,-5671GB,-,-,-,-,noida:/depot/external
noiclapa01-cls-mgt,vs0,jenkins_data,noiclapa01_s1_SATA0,1024GB,online,default,/vols/jenkins_data,370GB,none,false,0GB,162GB,-,-,-,-,532GB,492GB,-,-,-,-,noida:/vols/jenkins_data
noiclapa01-cls-mgt,vs0,jenkins_space,noiclapa01_p5_SAS0,150GB,online,default,/vols/jenkins_space,0GB,none,false,0GB,0GB,-,-,-,-,0GB,150GB,-,-,-,-,noida:/servers/jenkins
noiclapa01-cls-mgt,vs0,jg_t1b_build,noiclapa01_p8_SAS0,4710GB,online,default,/vols/jg_t1b_build,2658GB,1D1W,false,0GB,1281GB,-,-,-,-,3939GB,771GB,-,-,-,-,noida:/tool/jg_space1
noiclapa01-cls-mgt,vs0,jg_t2b_test,noiclapa01_s1_SATA0,1536GB,online,default,/vols/jg_t2b_test,1027GB,1D1W,false,0GB,612GB,-,-,-,-,1639GB,-103GB,-,-,-,-,noida:/tool/jg_space2
noiclapa01-cls-mgt,vs0,jganesh_vol,noiclapa01_p2_SAS0,150GB,online,cva,/cva/jganesh_vol,1GB,none,false,0GB,0GB,-,-,-,-,1GB,149GB,-,-,-,-,noida:/grid/cva/jganesh_vol
noiclapa01-cls-mgt,vs0,jganesh_vol1,noiclapa01_p8_SAS0,150GB,online,cva,/cva/jganesh_vol1,0GB,default,false,0GB,0GB,-,-,-,-,0GB,150GB,-,-,-,-,noida:/vols/jganesh_vol1
noiclapa01-cls-mgt,vs0,kat_USBHS,noiclapa01_p6_SAS0,700GB,online,default,/vols/kat_USBHS,23GB,none,false,0GB,0GB,-,-,-,-,23GB,677GB,-,-,-,-,noida:/projects/USBHS
noiclapa01-cls-mgt,vs0,kb_backup,noiclapa01_p5_SAS0,50GB,online,default,/vols/kb_backup,42GB,none,false,0GB,0GB,-,-,-,-,42GB,8GB,-,-,-,-,noida:/vols/kb_backup
noiclapa01-cls-mgt,vs0,kumard_vol,noiclapa01_p1_SAS0,150GB,online,cva,/cva/kumard_vol,3GB,none,false,0GB,0GB,-,-,-,-,3GB,147GB,-,-,-,-,noida:/grid/cva/kumard_vol
noiclapa01-cls-mgt,vs0,kumard_vol1,noiclapa01_p8_SAS0,150GB,online,cva,/cva/kumard_vol1,0GB,default,false,0GB,0GB,-,-,-,-,0GB,150GB,-,-,-,-,noida:/vols/kumard_vol1
noiclapa01-cls-mgt,vs0,kunal_testvol,noiclapa01_p8_SATA0,250GB,online,it,/it/kunal_testvol,137GB,none,false,0GB,0GB,-,-,-,-,137GB,113GB,-,-,-,-,noida:/servers/kunal_testvol
noiclapa01-cls-mgt,vs0,lbansal_nrm_nocc_final,noiclapa01_p5_SAS0,80GB,online,default,/p4/p4m/lbansal_nrm_nocc_final,44GB,none,false,0GB,0GB,-,-,-,-,44GB,36GB,-,-,-,-,noida:/vols/lbansal_nrm_nocc_final
noiclapa01-cls-mgt,vs0,lbansal_nrm_nocc_test,noiclapa01_p6_SAS0,150GB,online,default,/p4/p4m/lbansal_nrm_nocc_test,22GB,none,false,0GB,0GB,-,-,-,-,22GB,128GB,-,-,-,-,noida:/vols/lbansal_nrm_nocc_test
noiclapa01-cls-mgt,vs0,lbansal_nrm_snapview_test,noiclapa01_p6_SAS0,100GB,online,default,/p4/p4m/lbansal_nrm_snapview_test,25GB,none,false,0GB,0GB,-,-,-,-,25GB,75GB,-,-,-,-,noida:/vols/lbansal_nrm_snapview_test
noiclapa01-cls-mgt,vs0,mauj_test,noiclapa01_s1_SATA0,50GB,online,default,/vols/mauj_test,0GB,default,false,0GB,0GB,-,-,-,-,0GB,50GB,-,-,-,-,noida:/vols/mauj_test
noiclapa01-cls-mgt,vs0,mfg_release,noiclapa01_s2_SATA0,100GB,online,default,/vols/mfg_release,20GB,none,false,0GB,0GB,-,-,-,-,20GB,80GB,-,evneet,kongthai,Custom_IC_&_PCB_Group,noida:/lan/mfg/release
noiclapa01-cls-mgt,vs0,mmsimcm_v1,noiclapa01_p1_SAS0,50GB,online,cic,/cic/mmsimcm_v1,0GB,none,false,0GB,0GB,-,-,-,-,0GB,50GB,-,-,-,-,noida:/grid/cic/mmsimcm_v1
noiclapa01-cls-mgt,vs0,modus_asan_runs,noiclapa01_p6_SAS0,4608GB,online,default,/vols/modus_asan_runs,3530GB,none,false,0GB,0GB,-,-,-,-,3530GB,1078GB,-,-,-,-,noida:/vols/modus_asan_runs
noiclapa01-cls-mgt,vs0,mroy_vol1,noiclapa01_p7_SAS0,200GB,online,cva,/cva/mroy_vol1,0GB,none,false,0GB,0GB,-,-,-,-,0GB,200GB,-,-,-,-,noida:/grid/cva/mroy_vol1
noiclapa01-cls-mgt,vs0,nagios_backup,noiclapa01_p8_SATA0,215GB,online,default,/vols/nagios_backup,176GB,none,false,0GB,0GB,-,-,-,-,176GB,39GB,-,-,-,-,noida:/vols/nagios_backup
noiclapa01-cls-mgt,vs0,noi01nb01_DR,noiclapa01_s1_SATA0,5GB,online,it,/it/noi01nb01_DR,0GB,it-noida,false,0GB,0GB,-,-,-,-,0GB,5GB,-,-,-,-,noida:/vols/noi01nb01_DR
noiclapa01-cls-mgt,vs0,noi02nb01_DR,noiclapa01_p5_SAS0,10GB,online,it,/it/noi02nb01_DR,0GB,it-noida,false,0GB,0GB,-,-,-,-,0GB,10GB,-,-,-,-,noida:/vols/noi02nb01_DR
noiclapa01-cls-mgt,vs0,noi02nb03_D2D_Vol1,noiclapa01_p8_SATA1_TMP_BKP,57344GB,online,default,/vols/noi02nb03_D2D_Vol1,56744GB,none,false,0GB,0GB,-,-,-,-,56744GB,600GB,-,-,-,-,-
noiclapa01-cls-mgt,vs0,noi_db_grafana,noiclapa01_p5_SAS0,850GB,online,noi_db_grafana,/vols/noi_db_grafana,531GB,none,false,0GB,0GB,-,-,-,-,531GB,319GB,-,-,-,-,noida:/vols/noi_db_grafana
noiclapa01-cls-mgt,vs0,noi_eod,noiclapa01_p7_SAS0,100GB,online,eod,/it/noi_eod,0GB,default,false,0GB,0GB,-,-,-,-,0GB,100GB,-,-,-,-,noida:/hm/eoddatastore
noiclapa01-cls-mgt,vs0,noida_ead,noiclapa01_p2_SAS0,1000GB,online,default,/vols/noida_ead,698GB,none,false,0GB,0GB,-,-,-,-,698GB,302GB,-,-,-,-,noida:/servers/noida_ead
noiclapa01-cls-mgt,vs0,noida_p4server_backup,noiclapa01_p8_SAS0,1524GB,online,noida-p4server,/vols/noida_p4server_backup,1135GB,none,false,0GB,242GB,-,-,-,-,1377GB,147GB,-,-,-,-,noida:/vols/noida_p4server_backup
noiclapa01-cls-mgt,vs0,noivdi_images,noiclapa01_p9_SAS0_RESERVED_VDI,250GB,online,default,/vols/noivdi_images,65GB,default,false,0GB,68GB,-,-,-,-,133GB,117GB,-,-,-,-,-
noiclapa01-cls-mgt,vs0,noiwebdb_backup,noiclapa01_p6_SAS0,500GB,online,default,/vols/noiwebdb_backup,263GB,none,false,0GB,0GB,-,-,-,-,263GB,237GB,-,-,-,-,noida:/vols/noiwebdb_backup
noiclapa01-cls-mgt,vs0,p4Cmnd,noiclapa01_p5_SAS0,100GB,online,Read-Only,/p4/p4Cmnd,0GB,none,false,0GB,0GB,-,-,-,-,0GB,100GB,-,-,-,-,noida:/vols/import
noiclapa01-cls-mgt,vs0,p4Cusers01nd,noiclapa01_p5_SAS0,100GB,online,Read-Only,/p4/p4Cusers01nd,1GB,none,false,0GB,0GB,-,-,-,-,1GB,99GB,-,-,-,-,noida:/vols/p4Cusers01nd
noiclapa01-cls-mgt,vs0,p4_ptm,noiclapa01_p8_SAS0,1024GB,online,cva,/cva/p4_ptm,344GB,hsv_p4,false,0GB,496GB,-,-,-,-,840GB,184GB,-,-,-,-,noida:/grid/cva/p4_03
noiclapa01-cls-mgt,vs0,p4_pv,noiclapa01_p8_SAS0,1024GB,online,cva,/cva/p4_pv,399GB,none,false,0GB,1011GB,-,-,-,-,1410GB,-386GB,-,-,-,-,noida:/grid/cva/p4_pv
noiclapa01-cls-mgt,vs0,p4depotdata_vipp4in,noiclapa01_p7_SAS0,5632GB,online,default,/p4/p4depotdata_vipp4in,3849GB,default,false,0GB,247GB,-,-,-,-,4096GB,1536GB,-,-,-,-,noida:/vols/p4depotdata_vipp4in
noiclapa01-cls-mgt,vs0,p4depotdata_vipp4in_abc,noiclapa01_p7_SAS0,6144GB,online,default,/p4/p4depotdata_vipp4in_abc,4142GB,default,false,0GB,342GB,-,-,-,-,4484GB,1660GB,-,-,-,-,noida:/vols/p4depotdata_vipp4in-abc
noiclapa01-cls-mgt,vs0,p4m,noiclapa01_p5_SAS0,125GB,online,avs,/p4/p4m,0GB,none,false,0GB,0GB,-,-,-,-,0GB,125GB,-,-,-,-,noida:/dv/p4m
noiclapa01-cls-mgt,vs0,p4mC,noiclapa01_p5_SAS0,125GB,online,avs,/p4/p4mC,0GB,none,false,0GB,0GB,-,-,-,-,0GB,125GB,-,-,-,-,noida:/dv/p4mC
noiclapa01-cls-mgt,vs0,p4mnd,noiclapa01_p5_SAS0,125GB,online,Read-Only,/p4/p4mnd,0GB,none,false,0GB,0GB,-,-,-,-,0GB,125GB,-,-,-,-,noida:/vols/p4mnd
noiclapa01-cls-mgt,vs0,p4users,noiclapa01_p5_SAS0,1000GB,online,Read-Only,/p4/p4users,476GB,none,false,0GB,0GB,-,-,-,-,476GB,524GB,-,-,-,-,noida:/dv/p4users
noiclapa01-cls-mgt,vs0,p4users01hsvnd,noiclapa01_p2_SAS1_RESERVED_HSV,1024GB,online,default,/p4/p4users01hsvnd,151GB,hsv_p4,false,0GB,217GB,-,-,-,-,368GB,656GB,-,-,-,-,noida:/dv/p4users01hsvnd
noiclapa01-cls-mgt,vs0,pcie_ide,noiclapa01_p8_SAS0,50GB,online,default,/vols/pcie_ide,0GB,default,false,0GB,0GB,-,-,-,-,0GB,50GB,-,-,-,-,-
noiclapa01-cls-mgt,vs0,pcie_vip_perforce,noiclapa01_p7_SAS0,300GB,online,default,/vol/pcie_vip_perforce,232GB,it-noida,false,0GB,10GB,-,-,-,-,242GB,58GB,-,-,-,-,noida:/servers/pcie_vip_perforce
noiclapa01-cls-mgt,vs0,perf,noiclapa01_p8_SATA0,3072GB,online,default,/vols/perf,1904GB,none,false,0GB,0GB,-,-,-,-,1904GB,1168GB,-,-,-,-,noida:/grid/cic/perf
noiclapa01-cls-mgt,vs0,poc_avs151_rel,noiclapa01_p6_SAS0,200GB,online,default,/p4/p4m/poc_avs151_rel,147GB,none,false,0GB,0GB,-,-,-,-,147GB,53GB,-,-,-,-,noida:/vols/poc_avs151_rel
noiclapa01-cls-mgt,vs0,poc_avs151_rel_msCust_india_sfv_noreldirs,noiclapa01_p5_SAS0,100GB,online,avs,/p4/p4mC/poc_avs151_rel_msCust_india_sfv_noreldirs,67GB,none,false,0GB,0GB,-,-,-,-,67GB,33GB,-,-,-,-,noida:/vols/poc_avs151_rel_msCust_india_sfv_noreldirs
